Gen_No,Gas_Node,Eff
4,2,0.4
5,2,0.4
8,4,0.4
11,5,0.4
17,10,0.4
20,44,0.4
21,44,0.4
24,46,0.4
25,46,0
29,20,0.4
30,20,0.4
33,37,0.4
35,28,0.4
39,33,0.4
40,30,0.4
41,59,0.4
42,59,0.4
46,38,0.4
48,36,0.4
53,41,0.4
54,41,0.4
55,43,0.4
56,43,0.4
