,Gen_Bus,Pmax_MW,Pmin_MW,Type,CostCoeff_2,CostCoeff_1,CostCoeff_0,Gas_Node,Eff,FuelType,Power_to_Gas_Norm,Coupled_RES,ShedWeight,AddWeight,DC_OPF_RES,DC_RO_OPF_P_UB,DC_RO_OPF_P_LB
Gen46,Bus25,2123.0,1062,CCGT_GFPP,0.0,130.18873292510597,400.68,Node38,0.4,Gas,0.005,1062.0,31.0,27.0,1223.86,2123.0,1062.0
Gen47,Bus25,1245.0,623,Oil,0.33,423.22422489959837,665.11,,,,,623.0,45.0,13.0,623.0,,
Gen48,Bus26,3165.0,1583,CCGT_GFPP,0.0,130.12659715639808,400.68,Node36,0.4,Gas,0.005,3165.0,29.0,29.0,3165.0,3165.0,1583.0
Gen49,Bus26,1966.0,983,Large_unit _coal,0.33,661.3544252288913,382.24,,,,,983.0,49.0,9.0,983.0,,
Gen50,Bus26,1131.0,566,Medium_unit_coal,0.39,457.82427055702925,400.68,,,,,566.0,47.0,11.0,566.0,,
Gen51,Bus26,1355.0,678,Oil,0.33,459.4808560885608,665.11,,,,,678.0,48.0,10.0,678.0,,
Gen52,Bus27,1081.0,541,NuclearAGR,0.0,118.07990749306198,86.38,,,,,1081.0,25.0,33.0,1081.0,,
Gen53,Bus28,1320.0,660,CCGT_GFPP,0.0,130.30354545454546,400.68,Node41,0.4,Gas,0.005,660.0,35.0,23.0,660.0,1320.0,660.0
Gen54,Bus28,208.0,104,CHP_GFPP,0.0,13.192634615384616,400.68,,,,,208.0,12.0,46.0,208.0,,
Gen55,Bus29,905.0,453,CCGT_GFPP,0.0,130.4427403314917,400.68,Node43,0.4,Gas,0.005,453.0,37.0,21.0,453.0,905.0,453.0
Gen56,Bus29,140.0,70,OCGT_GFPP,0.0,201.9642857142857,650.0,,,,,70.0,43.0,15.0,70.0,,
Gen57,Bus29,1261.0,631,NuclearAGR,0.0,118.06850118953213,86.38,,,,,1261.0,22.0,36.0,1261.0,,
