From,To,K,exponent,Cmin,Cmax
62,1,0.1,1.2,1,2
3,2,0.1,1.2,1,2
5,4,0.1,1.2,1,2
7,6,0.1,1.2,1,2
12,11,0.1,1.2,1,2
10,9,0.1,1.2,1,2
16,15,0.1,1.2,1,2
49,48,0.1,1.2,1,2
51,50,0.1,1.2,1,2
21,20,0.1,1.2,1,2
24,23,0.1,1.2,1,2
31,30,0.1,1.2,1,2
29,28,0.1,1.2,1,2
33,32,0.1,1.2,1,2
27,26,0.1,1.2,1,2
35,34,0.1,1.2,1,2
40,39,0.1,1.2,1,2
42,41,0.1,1.2,1,2
59,52,0.1,1.2,1,2
54,53,0.1,1.2,1,2
64,58,0.1,1.2,1,2
