From_Bus,To_Bus,BR_R_PU,BR_X_PU,BR_B_PU,RateA_MVA,RateB_MVA,RateC_MVA,Tap,Shift,BR_Status,ANGMIN,ANGMAX,Pij,Qij,Pji,Qji
13,14,0.00107,0.01163,1.1745,1040,1040,1040,0,0,1,-360,360,-271.369790828988,-94.22195095140259,272.040463315784,-38.3462093591565
13,14,0.00082,0.01201,1.2125,1040,1040,1040,0,0,1,-360,360,-262.64340325575,-101.93714607935101,263.127190950489,-35.3599267629087
14,16,0.0005,0.016,0.2795,2580,2580,2580,0,0,1,-360,360,-228.415219466815,-46.7122044436241,228.636912252546,20.1687628993357
14,16,0.005,0.018000000000000002,0.1466,625,625,625,0,0,1,-360,360,-196.227821355268,12.7362133952106,197.85557998975497,-24.5194799025224
15,16,0.00033,0.0052,0.3534,2770,2770,2770,0,0,1,-360,360,-292.801608110837,-6.522087601164711,293.03613873483897,-32.5334080308099
15,16,0.00016,0.00172,0.3992,5540,5540,5540,0,0,1,-360,360,-881.485122706884,46.571901547054004,882.5196906584621,-83.7418947634074
15,14,0.00018999999999999998,0.0022199999999999998,0.7592,5000,5000,5000,0,0,1,-360,360,972.558967539223,160.037790782652,-971.006368887087,-233.243976406777
15,14,0.00018,0.0022199999999999998,0.5573,5000,5000,5000,0,0,1,-360,360,971.9902236806261,176.673883995919,-970.518243692745,-225.57389640927502
16,19,0.00056,0.0141,0.4496,2780,2780,2780,0,0,1,-360,360,411.25279526507796,-33.6620180463106,-410.469856903852,-1.026311826144
16,19,0.00056,0.0141,0.4496,3820,3820,3820,0,0,1,-360,360,411.25279526507796,-33.6620180463106,-410.469856903852,-1.026311826144
17,16,0.001,0.01072,0.2651,2150,2150,2150,0,0,1,-360,360,-1050.6466162294698,16.4527340890536,1059.9700160438301,51.747395298493394
17,16,0.001,0.01072,0.4573,1890,1890,1890,0,0,1,-360,360,-1050.6466162294698,5.06416506826687,1059.9700160438301,40.119295383654496
17,22,0.0006799999999999999,0.0097,0.4566,2100,2100,2100,0,0,1,-360,360,165.130677131927,-3.6582625946293503,-164.971070494163,-48.025681735217894
17,22,0.0006900000000000001,0.0097,0.4574,2100,2100,2100,0,0,1,-360,360,165.14262757607,-3.87675348204845,-164.980697244473,-47.9020641554108
18,17,0.00042,0.0018,0.2349,3100,3100,3100,0,0,1,-360,360,-638.018292119143,-235.29508402335497,639.653489109521,214.623840673132
18,17,0.00042,0.0018,0.2349,3460,3460,3460,0,0,1,-360,360,-638.018292119143,-235.29508402335497,639.653489109521,214.623840673132
18,23,0.0013800000000000002,0.0096,0.4829,1970,1970,1970,0,0,1,-360,360,146.902048878319,-150.462411549662,-146.472047867004,96.4012507380122
18,23,0.00117,0.0096,0.4122,1970,1970,1970,0,0,1,-360,360,149.921399342067,-143.475281078227,-149.554745943092,97.78413537884741
20,26,0.00035,0.0023,0.2249,2780,2780,2780,0,0,1,-360,360,14.406182715544901,-62.3458523505997,-14.3986909635924,35.206287492245
20,26,0.00035,0.0023,0.2249,2780,2780,2780,0,0,1,-360,360,14.406182715544901,-62.3458523505997,-14.3986909635924,35.206287492245
20,19,0.0017800000000000001,0.0213,0.6682,1590,1590,1590,0,0,1,-360,360,-141.577650686358,-31.768435459181198,141.87412591006202,-45.4644414636841
20,19,0.00132,0.0143,0.3656,1590,1590,1590,0,0,1,-360,360,-210.601881188536,-7.47338261062868,211.088923904897,-31.4487383318184
21,16,0.00145,0.01824,0.9169,2780,2780,2780,0,0,1,-360,360,-585.811132105915,-35.3912309126992,589.995938794879,-22.0106406444558
21,16,0.00145,0.01824,0.9169,2780,2780,2780,0,0,1,-360,360,-585.811132105915,-35.3912309126992,589.995938794879,-22.0106406444558
21,25,0.00025,0.01,0.1586,2780,2780,2780,0,0,1,-360,360,654.307275589058,188.55568527641498,-653.325795933548,-167.866572169855
21,25,0.00025,0.01,0.1586,2780,2780,2780,0,0,1,-360,360,654.307275589058,188.55568527641498,-653.325795933548,-167.866572169855
21,20,0.0012,0.0048,0.4446,2780,2780,2780,0,0,1,-360,360,-426.120989466409,-98.3339082920587,428.003582783836,52.5522432935314
21,20,0.0012,0.0048,0.7,2780,2780,2780,0,0,1,-360,360,-426.120989466409,-113.53462439093201,428.003582783836,37.1279153669703
21,19,0.00037,0.0059,0.294,3030,3030,3030,0,0,1,-360,360,-848.1242552701981,-112.74890257571,850.388331474834,113.566656135559
21,19,0.00037,0.0059,0.2955,2780,2780,2780,0,0,1,-360,360,-848.1242552701981,-112.83817851208,850.388331474834,113.475906137144
22,16,0.0017800000000000001,0.0172,0.8403,2010,2010,2010,0,0,1,-360,360,-744.818043812583,-23.0024908372833,753.2075486700251,3.7162870094596805
22,16,0.0017800000000000001,0.0172,0.627,2010,2010,2010,0,0,1,-360,360,-744.818043812583,-10.4336608373126,753.2075486700251,16.6209369149495
22,25,0.00037,0.0041,0.4098,3275,3275,3275,0,0,1,-360,360,1073.8686749834,230.89519117533902,-1070.04394415461,-236.253009057029
22,25,0.00033999999999999997,0.0041,0.429,3275,3275,3275,0,0,1,-360,360,1072.66240658792,237.721427382436,-1069.14336610358,-245.262628458096
22,21,0.00018999999999999998,0.0011099999999999999,0.1232,2780,2780,2780,0,0,1,-360,360,-2003.13631842696,-177.846193406452,2009.6522848099698,201.320991024115
22,21,0.00047999999999999996,0.0061,0.3041,2780,2780,2780,0,0,1,-360,360,-364.28832866597196,-82.68789461647259,364.845917079069,53.755431591012105
23,29,0.00151,0.0182,0.53,2010,2010,2010,0,0,1,-360,360,69.5884055015977,-54.285065924410404,-69.5204849453493,-8.20275719140656
23,24,0.00086,0.0008,0.9622,2780,2780,2780,0,0,1,-360,360,795.049066174897,-179.73196555571602,-790.377738424859,70.010250280724
23,24,0.00022999999999999998,0.0007,2.8447,4400,4400,4400,0,0,1,-360,360,1204.01374129892,271.81833320660803,-1200.8390385490302,-599.390431593087
23,22,0.00055,0.003,0.3468,2780,2780,2780,0,0,1,-360,360,-301.95972474504,250.029971457211,302.718961934874,-286.981272716985
23,22,0.00039,0.003,0.2466,2770,2770,2770,0,0,1,-360,360,-318.215242935465,242.007099268792,318.762458337353,-267.01757105161596
23,29,0.00151,0.0182,0.53,2010,2010,2010,0,0,1,-360,360,69.5884055015977,-54.285065924410404,-69.5204849453493,-8.20275719140656
24,28,0.0006799999999999999,0.006999999999999999,0.2388,2210,2210,2210,0,0,1,-360,360,-7.434916297610281,-107.754838237884,7.48581150608433,79.9502033705922
24,25,0.0010400000000000001,0.0091,0.2918,1390,1390,1390,0,0,1,-360,360,294.043304783773,108.444928895111,-293.14185180122996,-134.56746282415702
24,25,0.0010400000000000001,0.0091,0.2918,1390,1390,1390,0,0,1,-360,360,294.043304783773,108.444928895111,-293.14185180122996,-134.56746282415702
24,28,0.0006799999999999999,0.006999999999999999,0.2388,2210,2210,2210,0,0,1,-360,360,-7.434916297610281,-107.754838237884,7.48581150608433,79.9502033705922
25,26,0.0002,0.0057,0.532,6960,6960,6960,0,0,1,-360,360,-1491.79991131121,-433.118211020841,1495.9469642126,488.495882998416
25,26,0.0002,0.0057,0.532,5540,5540,5540,0,0,1,-360,360,-1491.79991131121,-433.118211020841,1495.9469642126,488.495882998416
27,26,0.0002,0.00503,0.1797,3100,3100,3100,0,0,1,-360,360,-224.498770948773,-0.89543192613526,224.582240756446,-18.7490007172695
27,26,0.0002,0.00503,0.1797,3100,3100,3100,0,0,1,-360,360,-224.498770948773,-0.89543192613526,224.582240756446,-18.7490007172695
28,27,0.00037999999999999997,0.007109999999999999,0.2998,3070,3070,3070,0,0,1,-360,360,-684.988781237917,-87.25964659377328,686.4987704389949,79.49266243371909
28,27,0.00037999999999999997,0.007109999999999999,0.2998,3070,3070,3070,0,0,1,-360,360,-684.988781237917,-87.25964659377328,686.4987704389949,79.49266243371909
29,28,0.0005099999999999999,0.00796,0.34,2780,2780,2780,0,0,1,-360,360,-65.9795159551135,13.6132869566684,66.0029691292418,-53.886311595712
29,28,0.0005099999999999999,0.00796,0.34,2780,2780,2780,0,0,1,-360,360,-65.9795159551135,13.6132869566684,66.0029691292418,-53.886311595712
3,4,0.003,0.040999999999999995,0.0044,648,648,648,0,0,1,-360,360,522.812078958852,-107.71094954156,-515.111653478097,212.439727061304
3,4,0.003,0.040999999999999995,0.044000000000000004,648,648,648,0,0,1,-360,360,522.812078958852,-109.908486002704,-515.111653478097,210.04392706723
3,2,0.030039999999999997,0.077,0.0124,652,652,652,0,0,1,-360,360,-206.28241485111099,124.01521682161899,222.008848559472,-85.0606322867084
